Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour
504,20,RL,100.0,15602,Pave,,IR1,Lvl
505,160,RL,24.0,2308,Pave,,Reg,Lvl
506,90,RM,60.0,7596,Pave,Grvl,Reg,Lvl
507,60,RL,80.0,9554,Pave,,IR1,Lvl
508,20,FV,75.0,7862,Pave,,IR1,Lvl
509,70,RM,60.0,9600,Pave,,Reg,Lvl
510,20,RL,80.0,9600,Pave,,Reg,Lvl
511,20,RL,75.0,14559,Pave,,Reg,Lvl
512,120,RL,40.0,6792,Pave,,IR1,Lvl
513,20,RL,70.0,9100,Pave,,Reg,Lvl
514,20,RL,71.0,9187,Pave,,Reg,Bnk
515,45,RL,55.0,10594,Pave,,Reg,Lvl
516,20,RL,94.0,12220,Pave,,Reg,Lvl
517,80,RL,,10448,Pave,,IR1,Lvl
518,60,RL,79.0,10208,Pave,,IR1,Lvl
519,60,RL,,9531,Pave,,IR1,Lvl
520,70,RL,53.0,10918,Pave,,Reg,Lvl
521,190,RL,60.0,10800,Pave,Grvl,Reg,Lvl
522,20,RL,90.0,11988,Pave,,IR1,Lvl
523,50,RM,50.0,5000,Pave,,Reg,Lvl
524,60,RL,130.0,40094,Pave,,IR1,Bnk
525,60,RL,95.0,11787,Pave,,IR1,Lvl
526,20,FV,62.0,7500,Pave,Pave,Reg,Lvl
527,20,RL,70.0,13300,Pave,,Reg,Lvl
528,60,RL,67.0,14948,Pave,,IR1,Lvl
529,30,RL,58.0,9098,Pave,,IR1,Lvl
530,20,RL,,32668,Pave,,IR1,Lvl
531,80,RL,85.0,10200,Pave,,Reg,Lvl
532,70,RM,60.0,6155,Pave,,IR1,Lvl
533,20,RL,60.0,7200,Pave,,Reg,Lvl
534,20,RL,50.0,5000,Pave,,Reg,Low
535,60,RL,74.0,9056,Pave,,IR1,Lvl
536,190,RL,70.0,7000,Pave,,Reg,Lvl
537,60,RL,57.0,8924,Pave,,IR1,Lvl
538,20,RL,,12735,Pave,,IR1,Lvl
539,20,RL,,11553,Pave,,IR1,Lvl
540,20,RL,,11423,Pave,,Reg,Lvl
541,20,RL,85.0,14601,Pave,,Reg,Lvl
542,60,RL,,11000,Pave,,Reg,Lvl
543,20,RL,78.0,10140,Pave,,Reg,Lvl
544,120,RH,34.0,4058,Pave,,Reg,Lvl
545,60,RL,58.0,17104,Pave,,IR1,Lvl
546,50,RL,,13837,Pave,,IR1,Lvl
547,50,RL,70.0,8737,Pave,,IR1,Bnk
548,85,RL,54.0,7244,Pave,,Reg,Lvl
549,20,RM,49.0,8235,Pave,,IR1,HLS
550,60,FV,75.0,9375,Pave,,Reg,Lvl
551,120,RL,53.0,4043,Pave,,Reg,Lvl
552,20,RM,50.0,6000,Pave,,Reg,Lvl
553,20,RL,87.0,11146,Pave,,IR1,Lvl
554,20,RL,67.0,8777,Pave,,Reg,Lvl
555,60,RL,85.0,10625,Pave,,Reg,Lvl
556,45,RM,58.0,6380,Pave,,Reg,Lvl
557,20,RL,69.0,14850,Pave,,IR1,Lvl
558,50,C (all),60.0,11040,Pave,,Reg,Low
559,60,RL,57.0,21872,Pave,,IR2,HLS
560,120,RL,,3196,Pave,,Reg,Lvl
561,20,RL,,11341,Pave,,IR1,Lvl
562,20,RL,77.0,10010,Pave,,Reg,Lvl
563,30,RL,63.0,13907,Pave,,Reg,Lvl
564,50,RL,66.0,21780,Pave,,Reg,Lvl
565,60,RL,,13346,Pave,,IR1,Lvl
566,70,RL,66.0,6858,Pave,,Reg,Bnk
567,60,RL,77.0,11198,Pave,,IR1,Lvl
568,20,RL,70.0,10171,Pave,,IR1,Lvl
569,50,RL,79.0,12327,Pave,,IR1,Low
570,90,RL,,7032,Pave,,IR1,Lvl
571,90,RL,74.0,13101,Pave,,IR1,Lvl
572,20,RL,60.0,7332,Pave,,Reg,Lvl
573,60,RL,83.0,13159,Pave,,IR1,HLS
574,80,RL,76.0,9967,Pave,,IR1,Lvl
575,80,RL,70.0,10500,Pave,,Reg,Lvl
576,50,RL,80.0,8480,Pave,,Reg,Lvl
577,50,RL,52.0,6292,Pave,,Reg,Lvl
578,80,RL,96.0,11777,Pave,,IR1,Lvl
579,160,FV,34.0,3604,Pave,Pave,Reg,Lvl
580,50,RM,81.0,12150,Pave,Grvl,Reg,Lvl
581,20,RL,,14585,Pave,,IR1,Lvl
582,20,RL,98.0,12704,Pave,,Reg,Lvl
583,90,RL,81.0,11841,Grvl,,Reg,Lvl
584,75,RM,75.0,13500,Pave,,Reg,Lvl
585,50,RM,51.0,6120,Pave,,Reg,Lvl
586,20,RL,88.0,11443,Pave,,Reg,Lvl
587,30,RL,55.0,10267,Pave,,Reg,Lvl
588,85,RL,74.0,8740,Pave,,IR1,Lvl
589,20,RL,65.0,25095,Pave,,IR1,Low
590,40,RM,50.0,9100,Pave,,Reg,Lvl
591,60,RL,64.0,8320,Pave,,Reg,Lvl
592,60,RL,97.0,13478,Pave,,IR1,Lvl
593,20,RL,60.0,6600,Pave,,Reg,Lvl
594,120,RM,,4435,Pave,,Reg,Lvl
595,20,RL,88.0,7990,Pave,,IR1,Lvl
596,20,RL,69.0,11302,Pave,,IR1,Lvl
597,70,RM,60.0,3600,Pave,Grvl,Reg,Lvl
598,120,RL,53.0,3922,Pave,,Reg,Lvl
599,20,RL,80.0,12984,Pave,,Reg,Bnk
600,160,RM,24.0,1950,Pave,,Reg,Lvl
601,60,RL,74.0,10927,Pave,,Reg,Lvl
602,50,RM,50.0,9000,Pave,,Reg,Bnk
603,60,RL,80.0,10041,Pave,,IR1,Lvl
604,160,FV,30.0,3182,Pave,Pave,Reg,Lvl
605,20,RL,88.0,12803,Pave,,IR1,Lvl
606,60,RL,85.0,13600,Pave,,Reg,Lvl
607,20,RL,82.0,12464,Pave,,IR2,Low
608,20,RL,78.0,7800,Pave,,Reg,Bnk
609,70,RL,78.0,12168,Pave,,Reg,HLS
610,20,RL,61.0,7943,Pave,,Reg,Lvl
611,60,RL,,11050,Pave,,Reg,Lvl
612,80,RL,,10395,Pave,,IR1,Lvl
613,60,RL,,11885,Pave,,Reg,Lvl
614,20,RL,70.0,8402,Pave,,Reg,Lvl
615,180,RM,21.0,1491,Pave,,Reg,Lvl
616,85,RL,80.0,8800,Pave,,Reg,Lvl
617,60,RL,,7861,Pave,,IR1,Lvl
618,45,RL,59.0,7227,Pave,,Reg,HLS
619,20,RL,90.0,11694,Pave,,Reg,Lvl
620,60,RL,85.0,12244,Pave,,Reg,Lvl
621,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl
622,60,RL,90.0,10800,Pave,,Reg,Lvl
623,20,RL,71.0,7064,Pave,,Reg,Lvl
624,160,FV,,2117,Pave,,Reg,Lvl
625,60,RL,80.0,10400,Pave,,Reg,Lvl
626,20,RL,87.0,10000,Pave,,IR1,Lvl
627,20,RL,,12342,Pave,,IR1,Lvl
628,80,RL,80.0,9600,Pave,,Reg,Lvl
629,60,RL,70.0,11606,Pave,,IR1,HLS
630,80,RL,82.0,9020,Pave,,Reg,Lvl
631,70,RM,50.0,9000,Pave,Grvl,Reg,Lvl
632,120,RL,34.0,4590,Pave,,Reg,Lvl
633,20,RL,85.0,11900,Pave,,Reg,Lvl
634,20,RL,80.0,9250,Pave,,Reg,Lvl
635,90,RL,64.0,6979,Pave,,Reg,Lvl
636,190,RH,60.0,10896,Pave,Pave,Reg,Bnk
637,30,RM,51.0,6120,Pave,,Reg,Lvl
638,190,RM,50.0,6000,Pave,,Reg,Lvl
639,30,RL,67.0,8777,Pave,,Reg,Lvl
640,120,RL,53.0,3982,Pave,,Reg,Lvl
641,120,RL,62.0,12677,Pave,,IR1,Lvl
642,60,FV,,7050,Pave,,Reg,Lvl
643,80,RL,75.0,13860,Pave,,Reg,Lvl
644,60,RL,80.0,10793,Pave,,Reg,Lvl
645,20,FV,85.0,9187,Pave,,Reg,Lvl
646,20,RL,,10530,Pave,,IR1,Lvl
647,20,RL,60.0,7200,Pave,,Reg,Lvl
648,20,RL,85.0,10452,Pave,,IR1,Lvl
649,60,RL,70.0,7700,Pave,,Reg,Lvl
650,180,RM,21.0,1936,Pave,,Reg,Lvl
651,60,FV,65.0,8125,Pave,,Reg,Lvl
652,70,RL,60.0,9084,Pave,,Reg,Lvl
653,60,RL,70.0,8750,Pave,,Reg,Lvl
654,50,RM,60.0,10320,Pave,Grvl,Reg,Lvl
655,20,RL,91.0,10437,Pave,,IR1,Lvl
656,160,RM,21.0,1680,Pave,,Reg,Lvl
657,20,RL,72.0,10007,Pave,,IR1,Lvl
658,70,RL,60.0,7200,Pave,,Reg,HLS
659,50,RL,78.0,17503,Pave,,Reg,Lvl
660,20,RL,75.0,9937,Pave,,Reg,Lvl
661,60,RL,,12384,Pave,,Reg,Lvl
662,60,RL,52.0,46589,Pave,,IR2,Lvl
663,20,RL,120.0,13560,Pave,,Reg,Lvl
664,85,RL,90.0,10012,Pave,,Reg,Lvl
665,20,RL,49.0,20896,Pave,,IR2,Lvl
666,60,RL,106.0,11194,Pave,,IR1,Lvl
667,60,RL,,18450,Pave,,IR1,Lvl
668,20,RL,65.0,8125,Pave,,Reg,Lvl
669,20,RL,,14175,Pave,,Reg,Bnk
670,30,RL,80.0,11600,Pave,,Reg,Lvl
671,60,RL,64.0,8633,Pave,,Reg,Lvl
672,70,RH,54.0,6629,Pave,,Reg,Lvl
673,20,RL,,11250,Pave,,IR1,Lvl
674,20,RL,110.0,14442,Pave,,Reg,Lvl
675,20,RL,80.0,9200,Pave,,Reg,Lvl
676,160,RL,24.0,2289,Pave,,Reg,Lvl
677,70,RM,60.0,9600,Pave,Grvl,Reg,Lvl
678,30,RL,52.0,9022,Pave,,Reg,Lvl
679,20,RL,80.0,11844,Pave,,IR1,Lvl
680,20,RL,,9945,Pave,,IR1,Lvl
681,120,RL,50.0,8012,Pave,,Reg,Lvl
682,50,RH,55.0,4500,Pave,Pave,IR2,Bnk
683,120,RL,,2887,Pave,,Reg,HLS
684,20,RL,90.0,11248,Pave,,IR1,Lvl
685,60,RL,58.0,16770,Pave,,IR2,Lvl
686,160,RL,,5062,Pave,,IR1,Lvl
687,60,FV,84.0,10207,Pave,,Reg,Lvl
688,160,FV,,5105,Pave,,IR2,Lvl
689,20,RL,60.0,8089,Pave,,Reg,HLS
690,120,RL,61.0,7577,Pave,,IR1,Lvl
691,120,RM,,4426,Pave,,Reg,Lvl
692,60,RL,104.0,21535,Pave,,IR1,Lvl
693,60,RL,42.0,26178,Pave,,IR1,Lvl
694,30,RL,60.0,5400,Pave,,Reg,Lvl
695,50,RM,51.0,6120,Pave,,Reg,Lvl
696,20,RL,54.0,13811,Pave,,IR1,Lvl
697,30,RM,50.0,6000,Pave,,Reg,Lvl
698,20,RL,57.0,6420,Pave,,IR1,Lvl
699,20,RL,65.0,8450,Pave,,Reg,Lvl
700,120,FV,59.0,4282,Pave,Pave,IR2,Lvl
701,20,RL,85.0,14331,Pave,,Reg,Lvl
702,20,RL,80.0,9600,Pave,,Reg,Lvl
703,60,RL,82.0,12438,Pave,,IR1,Lvl
704,190,RM,76.0,7630,Pave,,Reg,Lvl
705,20,RL,70.0,8400,Pave,,Reg,Lvl
706,190,RM,70.0,5600,Pave,,Reg,Lvl
707,20,RL,,115149,Pave,,IR2,Low
708,120,RL,48.0,6240,Pave,,Reg,Lvl
709,60,RL,65.0,9018,Pave,,IR1,Lvl
710,20,RL,,7162,Pave,,IR1,Lvl
711,30,RL,56.0,4130,Pave,,IR1,Lvl
712,50,C (all),66.0,8712,Pave,Pave,Reg,HLS
713,120,RL,40.0,4671,Pave,,IR1,HLS
714,190,RL,60.0,9873,Pave,,Reg,Lvl
715,60,RL,,13517,Pave,,IR1,Lvl
716,20,RL,78.0,10140,Pave,,Reg,Lvl
717,70,RM,60.0,10800,Pave,Grvl,Reg,Bnk
718,20,RL,80.0,10000,Pave,,Reg,Lvl
719,60,RL,96.0,10542,Pave,,Reg,Lvl
720,20,RL,69.0,9920,Pave,,IR1,Lvl
721,120,RL,,6563,Pave,,IR1,Low
722,120,RM,,4426,Pave,,Reg,Lvl
723,20,RL,70.0,8120,Pave,,Reg,Lvl
724,50,RL,60.0,8172,Pave,,Reg,Lvl
725,20,RL,86.0,13286,Pave,,IR1,Lvl
726,20,RL,60.0,6960,Pave,,Reg,Lvl
727,20,RL,,21695,Pave,,IR1,Lvl
728,20,RL,64.0,7314,Pave,,Reg,Lvl
729,90,RL,85.0,11475,Pave,,Reg,Lvl
730,30,RM,52.0,6240,Pave,Grvl,Reg,Lvl
731,120,RL,39.0,5389,Pave,,IR1,Lvl
732,80,RL,73.0,9590,Pave,,IR1,Lvl
733,60,RL,75.0,11404,Pave,,IR1,Lvl
734,20,RL,80.0,10000,Pave,,Reg,Lvl
735,20,RL,,8978,Pave,,IR1,Lvl
736,75,RM,60.0,10800,Pave,,Reg,Lvl
737,90,RL,60.0,8544,Pave,,Reg,Lvl
738,60,RL,72.0,10463,Pave,,IR1,HLS
739,90,RL,60.0,10800,Pave,,Reg,Lvl
740,60,RL,65.0,9313,Pave,,IR1,Lvl
741,70,RM,60.0,9600,Pave,Grvl,Reg,Lvl
742,20,RL,65.0,6768,Pave,,IR1,Lvl
743,20,RL,65.0,8450,Pave,,Reg,Lvl
744,80,RL,70.0,12886,Pave,,IR1,Lvl
745,120,RL,41.0,5395,Pave,,IR1,HLS
746,60,RL,,8963,Pave,,IR1,Lvl
747,60,RL,,8795,Pave,,IR1,Lvl
748,70,RM,65.0,11700,Pave,Pave,IR1,Lvl
749,20,RL,59.0,10593,Pave,,IR1,Lvl
750,50,RL,50.0,8405,Pave,,Reg,Lvl
751,50,RM,55.0,8800,Pave,Grvl,Reg,Lvl
752,60,RL,,7750,Pave,,Reg,Lvl
753,20,RL,79.0,9236,Pave,,IR1,Lvl
754,60,RL,80.0,10240,Pave,,Reg,Lvl
755,20,RL,61.0,7930,Pave,,Reg,Lvl
756,160,FV,34.0,3230,Pave,Pave,Reg,Lvl
757,60,RL,68.0,10769,Pave,,IR1,Lvl
758,60,RL,,11616,Pave,,IR1,Lvl
759,160,FV,24.0,2280,Pave,Pave,Reg,Lvl
760,60,RL,65.0,12257,Pave,,IR1,Lvl
761,20,RL,70.0,9100,Pave,,Reg,Lvl
762,30,RM,60.0,6911,Pave,,Reg,Lvl
763,60,FV,72.0,8640,Pave,,Reg,Lvl
764,60,RL,82.0,9430,Pave,,Reg,Lvl
765,120,RL,30.0,9549,Pave,,IR1,Lvl
766,20,RL,75.0,14587,Pave,,IR1,Lvl
767,60,RL,80.0,10421,Pave,,Reg,Lvl
768,50,RL,75.0,12508,Pave,,IR1,Lvl
769,20,RL,70.0,9100,Pave,,Reg,Lvl
770,60,RL,47.0,53504,Pave,,IR2,HLS
771,85,RL,,7252,Pave,,IR1,Lvl
772,20,RL,67.0,8877,Pave,,Reg,Lvl
773,80,RL,94.0,7819,Pave,,Reg,Lvl
774,20,RL,70.0,10150,Pave,,Reg,Lvl
775,20,RL,110.0,14226,Pave,,Reg,Lvl
776,120,RM,32.0,4500,Pave,,Reg,Lvl
777,20,RL,86.0,11210,Pave,,IR1,Lvl
778,20,RL,100.0,13350,Pave,,IR1,Lvl
779,90,RH,60.0,8400,Pave,,Reg,Lvl
780,90,RL,78.0,10530,Pave,,Reg,Lvl
781,20,RL,63.0,7875,Pave,,Reg,Lvl
782,60,RL,65.0,7153,Pave,,Reg,Lvl
783,20,RL,67.0,16285,Pave,,IR2,Lvl
784,85,RL,,9101,Pave,,IR1,Lvl
785,75,RM,35.0,6300,Pave,Grvl,Reg,Lvl
786,20,RL,,9790,Pave,,Reg,Lvl
787,50,RM,60.0,10800,Pave,,Reg,Lvl
788,60,RL,76.0,10142,Pave,,IR1,Lvl
789,20,RM,50.0,6000,Pave,,Reg,Lvl
790,60,RL,,12205,Pave,,IR1,Low
791,120,RL,43.0,3182,Pave,,Reg,Lvl
792,80,RL,,11333,Pave,,IR1,Lvl
793,60,RL,92.0,9920,Pave,,IR1,Lvl
794,20,RL,76.0,9158,Pave,,Reg,Lvl
795,60,RL,,10832,Pave,,IR1,Lvl
796,60,RL,70.0,8400,Pave,,Reg,Lvl
797,20,RL,71.0,8197,Pave,,Reg,Lvl
798,20,RL,57.0,7677,Pave,,Reg,Lvl
799,60,RL,104.0,13518,Pave,,Reg,Lvl
800,50,RL,60.0,7200,Pave,,Reg,Lvl
801,60,RL,79.0,12798,Pave,,IR1,HLS
802,30,RM,40.0,4800,Pave,,Reg,Lvl
803,60,RL,63.0,8199,Pave,,Reg,Lvl
804,60,RL,107.0,13891,Pave,,Reg,Lvl
805,20,RL,75.0,9000,Pave,,Reg,Lvl
806,20,RL,91.0,12274,Pave,,IR1,Lvl
807,80,RL,75.0,9750,Pave,,Reg,Lvl
808,70,RL,144.0,21384,Pave,,Reg,Lvl
809,80,RL,85.0,13400,Pave,,Reg,Lvl
810,75,RM,90.0,8100,Pave,,Reg,Lvl
811,20,RL,78.0,10140,Pave,,Reg,Lvl
812,120,RM,,4438,Pave,,Reg,Lvl
813,20,C (all),66.0,8712,Grvl,,Reg,Bnk
814,20,RL,75.0,9750,Pave,,Reg,Lvl
815,50,RL,45.0,8248,Pave,Grvl,Reg,Lvl
816,20,RL,48.0,12137,Pave,,IR2,Lvl
817,20,RL,,11425,Pave,,IR1,Lvl
818,20,RL,,13265,Pave,,IR1,Lvl
819,80,RL,80.0,8816,Pave,,Reg,Lvl
820,120,RL,44.0,6371,Pave,,IR1,Lvl
821,60,RL,72.0,7226,Pave,,IR1,Lvl
822,20,RM,60.0,6000,Pave,Pave,Reg,Bnk
823,60,RL,,12394,Pave,,IR1,Lvl
824,50,RL,60.0,9900,Pave,,Reg,Lvl
825,20,FV,81.0,11216,Pave,,Reg,Lvl
826,20,RL,114.0,14803,Pave,,Reg,Lvl
827,45,RM,50.0,6130,Pave,,Reg,Lvl
828,20,RL,65.0,8529,Pave,,IR1,Lvl
829,60,RL,,28698,Pave,,IR2,Low
830,160,FV,24.0,2544,Pave,Pave,Reg,Lvl
831,20,RL,80.0,11900,Pave,,IR1,Lvl
832,160,FV,30.0,3180,Pave,Pave,Reg,Lvl
833,60,RL,44.0,9548,Pave,,IR1,Lvl
834,20,RL,100.0,10004,Pave,,Reg,Lvl
835,20,RL,75.0,7875,Pave,,Reg,Lvl
836,20,RL,60.0,9600,Pave,,Reg,Lvl
837,30,RM,90.0,8100,Pave,Pave,Reg,Lvl
838,160,RM,21.0,1680,Pave,,Reg,Lvl
839,20,RL,75.0,9525,Pave,,Reg,Lvl
840,50,RL,70.0,11767,Pave,,Reg,Lvl
841,70,RH,,12155,Pave,,IR1,Lvl
842,70,RM,60.0,10440,Pave,Grvl,Reg,Lvl
843,80,RL,82.0,9020,Pave,,Reg,Lvl
844,90,RL,80.0,8000,Pave,,Reg,Lvl
845,50,RM,100.0,12665,Pave,Grvl,IR1,Lvl
846,85,RL,,16647,Pave,,IR1,Lvl
847,60,RL,75.0,9317,Pave,,Reg,Lvl
848,20,RL,36.0,15523,Pave,,IR1,Lvl
849,50,RL,75.0,45600,Pave,,IR2,Bnk
850,80,RL,80.0,9600,Pave,,Reg,Lvl
851,120,RM,36.0,4435,Pave,,Reg,Lvl
852,120,RL,,3196,Pave,,Reg,Lvl
853,75,RL,53.0,7128,Pave,,Reg,Lvl
854,80,RL,,12095,Pave,,IR1,Lvl
855,20,RL,102.0,17920,Pave,,Reg,Lvl
856,20,RL,,6897,Pave,,IR1,Lvl
857,80,RL,,10970,Pave,,IR1,Low
858,60,RL,65.0,8125,Pave,,Reg,Lvl
859,20,RL,80.0,10400,Pave,,Reg,Lvl
860,60,RL,,11029,Pave,,IR1,Lvl
861,50,RL,55.0,7642,Pave,,Reg,Lvl
862,190,RL,75.0,11625,Pave,,Reg,Lvl
863,20,RL,81.0,9672,Pave,,Reg,Lvl
864,20,RL,70.0,7931,Pave,,Reg,Lvl
865,20,FV,72.0,8640,Pave,,Reg,Lvl
866,20,RL,,8750,Pave,,IR1,Lvl
867,20,RL,67.0,10656,Pave,,IR1,HLS
868,20,RL,85.0,6970,Pave,,Reg,Lvl
869,60,RL,,14762,Pave,,IR2,Lvl
870,60,RL,80.0,9938,Pave,,Reg,Lvl
871,20,RL,60.0,6600,Pave,,Reg,Lvl
872,60,RL,70.0,8750,Pave,,Reg,Lvl
873,20,RL,74.0,8892,Pave,,Reg,Lvl
874,40,RL,60.0,12144,Pave,,Reg,Lvl
875,50,RM,52.0,5720,Pave,,Reg,Lvl
876,60,FV,75.0,9000,Pave,,Reg,Lvl
877,20,RL,94.0,25286,Pave,,Reg,HLS
878,60,RL,74.0,8834,Pave,,Reg,Lvl
879,85,RL,88.0,11782,Pave,,IR1,Lvl
880,20,RL,,7000,Pave,,IR1,Lvl
881,20,RL,60.0,7024,Pave,,Reg,Lvl
882,50,RL,44.0,13758,Pave,,IR1,Lvl
883,60,RL,,9636,Pave,,IR1,Lvl
884,75,RL,60.0,6204,Pave,,Reg,Bnk
885,20,RL,65.0,7150,Pave,,Reg,Lvl
886,120,FV,50.0,5119,Pave,,IR1,Lvl
887,90,RL,70.0,8393,Pave,,Reg,Lvl
888,50,RL,59.0,16466,Pave,,IR1,Lvl
889,20,RL,95.0,15865,Pave,,IR1,Lvl
890,20,RL,128.0,12160,Pave,,Reg,Lvl
891,50,RL,60.0,8064,Pave,,Reg,Lvl
892,60,RL,70.0,11184,Pave,,Reg,Lvl
893,20,RL,70.0,8414,Pave,,Reg,Lvl
894,20,RL,,13284,Pave,,Reg,Lvl
895,90,RL,64.0,7018,Pave,,Reg,Bnk
896,60,RL,71.0,7056,Pave,,Reg,Lvl
897,30,RM,50.0,8765,Pave,Grvl,Reg,Lvl
898,90,RL,64.0,7018,Pave,,Reg,Lvl
899,20,RL,100.0,12919,Pave,,IR1,Lvl
900,20,RL,65.0,6993,Pave,,Reg,Lvl
901,20,RL,,7340,Pave,,IR1,Lvl
902,20,RL,64.0,8712,Pave,,IR1,Lvl
903,60,RL,63.0,7875,Pave,,Reg,Lvl
904,20,RL,50.0,14859,Pave,,IR1,HLS
905,20,RL,,6173,Pave,,IR1,Lvl
906,20,RL,80.0,9920,Pave,,Reg,Lvl
907,20,RL,116.0,13501,Pave,,IR1,Lvl
908,50,RL,86.0,11500,Pave,,IR1,Lvl
909,20,RL,,8885,Pave,,IR1,Low
910,60,RL,149.0,12589,Pave,,IR2,Lvl
911,90,RL,80.0,11600,Pave,,Reg,Lvl
912,20,RL,,9286,Pave,,IR1,Lvl
913,30,RM,51.0,6120,Pave,,Reg,Lvl
914,90,RH,82.0,6270,Pave,,Reg,HLS
915,160,FV,30.0,3000,Pave,Pave,Reg,Lvl
916,160,RM,21.0,2001,Pave,,Reg,Lvl
917,20,C (all),50.0,9000,Pave,,Reg,Lvl
918,20,RL,,17140,Pave,,Reg,Lvl
919,60,RL,103.0,13125,Pave,,IR1,Lvl
920,20,RL,87.0,11029,Pave,,IR1,Lvl
921,60,RL,70.0,8462,Pave,,IR1,Lvl
922,90,RL,67.0,8777,Pave,,Reg,Lvl
923,20,RL,65.0,10237,Pave,,Reg,Lvl
924,120,RL,50.0,8012,Pave,,Reg,Lvl
925,20,RL,79.0,10240,Pave,,Reg,Lvl
926,20,RL,,15611,Pave,,IR1,Lvl
927,60,RL,93.0,11999,Pave,,Reg,Lvl
928,60,RL,,9900,Pave,,Reg,Lvl
929,20,RL,,11838,Pave,,Reg,Lvl
930,60,RL,,13006,Pave,,IR1,Lvl
931,20,RL,73.0,8925,Pave,,IR1,HLS
932,20,RL,70.0,9100,Pave,,Reg,Lvl
933,20,RL,84.0,11670,Pave,,IR1,Lvl
934,20,RL,63.0,8487,Pave,,Reg,Lvl
935,20,RL,313.0,27650,Pave,,IR2,HLS
936,30,RL,52.0,5825,Pave,,IR1,Lvl
937,20,RL,67.0,10083,Pave,,Reg,Lvl
938,60,RL,75.0,9675,Pave,,Reg,Lvl
939,60,RL,73.0,8760,Pave,,Reg,Lvl
940,70,RL,,24090,Pave,,Reg,Lvl
941,90,RL,55.0,12640,Pave,,IR1,Lvl
942,60,RL,,8755,Pave,,IR1,Lvl
943,90,RL,42.0,7711,Pave,,IR1,Lvl
944,90,RL,100.0,25000,Pave,,Reg,Low
945,20,RL,,14375,Pave,,IR1,Lvl
946,50,RM,98.0,8820,Pave,,Reg,Lvl
947,80,RL,70.0,8163,Pave,,Reg,Lvl
948,20,RL,85.0,14536,Pave,,Reg,Lvl
949,60,RL,65.0,14006,Pave,,IR1,Lvl
950,20,RL,78.0,9360,Pave,,Reg,Lvl
951,20,RL,60.0,7200,Pave,,Reg,Lvl
952,20,RH,60.0,7800,Pave,,Reg,Lvl
953,85,RL,60.0,7200,Pave,,Reg,Lvl
954,60,RL,,11075,Pave,,IR1,Lvl
955,90,RL,35.0,9400,Pave,,IR1,Lvl
956,90,RH,82.0,7136,Pave,,IR1,HLS
957,160,RM,24.0,1300,Pave,,Reg,Lvl
958,20,RL,70.0,7420,Pave,,Reg,Lvl
959,20,RL,65.0,8450,Pave,,Reg,Lvl
960,160,FV,24.0,2572,Pave,,Reg,Lvl
961,20,RL,50.0,7207,Pave,,IR1,Lvl
962,60,RL,,12227,Pave,,IR1,Lvl
963,160,RL,24.0,2308,Pave,,Reg,Lvl
964,20,RL,122.0,11923,Pave,,IR1,Lvl
965,60,RL,80.0,11316,Pave,,Reg,Lvl
966,60,RL,65.0,10237,Pave,,Reg,Lvl
967,50,RL,130.0,9600,Pave,,IR1,HLS
968,20,RL,,7390,Pave,,IR1,Lvl
969,50,RM,50.0,5925,Pave,,Reg,Lvl
970,190,RL,75.0,10382,Pave,,Reg,Lvl
971,50,RL,60.0,10800,Pave,,Reg,Lvl
972,160,RL,36.0,2268,Pave,,Reg,Lvl
973,120,RL,55.0,7892,Pave,,Reg,Lvl
974,20,FV,95.0,11639,Pave,,Reg,Lvl
975,70,RL,60.0,11414,Pave,,IR1,Lvl
976,160,FV,,2651,Pave,,Reg,Lvl
977,30,RL,51.0,5900,Pave,,IR1,Bnk
978,120,FV,35.0,4274,Pave,Pave,IR1,Lvl
979,20,RL,68.0,9450,Pave,,Reg,Bnk
980,20,RL,80.0,8816,Pave,,Reg,Lvl
981,85,RL,,12122,Pave,,IR1,Lvl
982,60,RL,98.0,12203,Pave,,IR1,Lvl
983,20,RL,43.0,3182,Pave,,Reg,Lvl
984,60,RL,,11250,Pave,,Reg,Lvl
985,90,RL,75.0,10125,Pave,,Reg,Lvl
986,190,RL,68.0,10880,Pave,,Reg,Lvl
987,50,RM,59.0,5310,Pave,,Reg,Lvl
988,20,RL,83.0,10159,Pave,,IR1,Lvl
989,60,RL,,12046,Pave,,IR1,Lvl
990,60,FV,65.0,8125,Pave,,Reg,Lvl
991,60,RL,82.0,9452,Pave,,Reg,Lvl
992,70,RM,121.0,17671,Pave,Grvl,Reg,Lvl
993,60,RL,80.0,9760,Pave,,Reg,Lvl
994,60,RL,68.0,8846,Pave,,Reg,Lvl
995,20,RL,96.0,12456,Pave,,Reg,Lvl
996,50,RL,51.0,4712,Pave,,IR1,Lvl
997,20,RL,,10659,Pave,,IR1,Lvl
998,20,RL,,11717,Pave,,IR1,Lvl
999,30,RM,60.0,9786,Pave,,Reg,Lvl
1000,20,RL,64.0,6762,Pave,,Reg,Lvl
1001,20,RL,74.0,10206,Pave,,Reg,Lvl
1002,30,RL,60.0,5400,Pave,,Reg,Lvl
1003,20,RL,75.0,11957,Pave,,IR1,Lvl
1004,90,RL,,11500,Pave,,IR1,Lvl
1005,120,RL,43.0,3182,Pave,,Reg,Lvl
1006,80,RL,65.0,8385,Pave,,Reg,Lvl
1007,20,RL,,12155,Pave,,IR3,Lvl
